year,variableA
1980 ,1209984 
1981 ,1214935 
1982 ,1142202 
1983 ,1042811 
1984 ,989126 
1985 ,993811 
1986 ,1025037 
1987 ,1061021 
1988 ,1129241 
1989 ,1129638 
1990 ,1144874 
1991 ,1127651 
1992 ,1061489 
1993 ,1010176 
1994 ,921278 
1995 ,827025 
1996 ,751456 
1997 ,709328 
1998 ,652202 
1999 ,596743 
2000 ,588189 
2001 ,556025 
2002,537121
2003 ,521565 
2004 ,507648 
2005 ,491829 
2006 ,482270 
2007 ,461731 
2008,466131 
2009,452647 
2010,456202
2011,449300
2012,454803
2013,436166
2014,415085
2015,392351
2016,379466